id,name,blurb,goal,pledged,outcome,backers_count,country,currency,launched_at,deadline,staff_pick,spotlight,category & sub-category,Percent Funded,Average Donation,Parent Category,Sub-Category
0,"Baldwin, Riley and Jackson",Pre-emptive tertiary standardization,100,0,failed,0,CA,CAD,1448690400,1450159200,FALSE,FALSE,food/food trucks,0%,0,,
1,Odom Inc,Managed bottom-line architecture,1400,14560,successful,158,US,USD,1408424400,1408597200,FALSE,TRUE,music/rock,1040%,7359,,
2,"Melton, Robinson and Fritz",Function-based leadingedge pricing structure,108400,142523,successful,1425,AU,AUD,1384668000,1384840800,FALSE,FALSE,technology/web,131%,71974,,
3,"Mcdonald, Gonzalez and Ross",Vision-oriented fresh-thinking conglomeration,4200,2477,failed,24,US,USD,1565499600,1568955600,FALSE,FALSE,music/rock,59%,1250.5,,
4,Larson-Little,Proactive foreground core,7600,5265,failed,53,US,USD,1547964000,1548309600,FALSE,FALSE,theater/plays,69%,2659,,
5,Harris Group,Open-source optimizing database,7600,13195,successful,174,DK,DKK,1346130000,1347080400,FALSE,FALSE,theater/plays,174%,6684.5,,
6,"Ortiz, Coleman and Mitchell",Operative upward-trending algorithm,5200,1090,failed,18,GB,GBP,1505278800,1505365200,FALSE,FALSE,film & video/documentary,21%,554,,
7,Carter-Guzman,Centralized cohesive challenge,4500,14741,successful,227,DK,DKK,1439442000,1439614800,FALSE,FALSE,theater/plays,328%,7484,,
8,Nunez-Richards,Exclusive attitude-oriented intranet,110100,21946,live,708,DK,DKK,1281330000,1281502800,FALSE,FALSE,theater/plays,20%,11327,,
9,"Rangel, Holt and Jones",Open-source fresh-thinking model,6200,3208,failed,44,US,USD,1379566800,1383804000,FALSE,FALSE,music/electric music,52%,1626,,
10,Green Ltd,Monitored empowering installation,5200,13838,successful,220,US,USD,1281762000,1285909200,FALSE,FALSE,film & video/drama,266%,7029,,
11,"Perez, Johnson and Gardner",Grass-roots zero administration system engine,6300,3030,failed,27,US,USD,1285045200,1285563600,FALSE,TRUE,theater/plays,48%,1528.5,,
12,Kim Ltd,Assimilated hybrid intranet,6300,5629,failed,55,US,USD,1571720400,1572411600,FALSE,FALSE,film & video/drama,89%,2842,,
13,"Walker, Taylor and Coleman",Multi-tiered directional open architecture,4200,10295,successful,98,US,USD,1465621200,1466658000,FALSE,FALSE,music/indie rock,245%,5196.5,,
14,"Rodriguez, Rose and Stewart",Cloned directional synergy,28200,18829,failed,200,US,USD,1331013600,1333342800,FALSE,FALSE,music/indie rock,67%,9514.5,,
15,"Wright, Hunt and Rowe",Extended eco-centric pricing structure,81200,38414,failed,452,US,USD,1575957600,1576303200,FALSE,FALSE,technology/wearables,47%,19433,,
16,Hines Inc,Cross-platform systemic adapter,1700,11041,successful,100,US,USD,1390370400,1392271200,FALSE,FALSE,publishing/nonfiction,649%,5570.5,,
17,Cochran-Nguyen,Seamless 4thgeneration methodology,84600,134845,successful,1249,US,USD,1294812000,1294898400,FALSE,FALSE,film & video/animation,159%,68047,,
18,Johnson-Gould,Exclusive needs-based adapter,9100,6089,canceled,135,US,USD,1536382800,1537074000,FALSE,FALSE,theater/plays,67%,3112,,
